date,timestamp,ISO8601,hr (count/min),power (watt),cadence (count/min),distance (meter),speed (m/s),lap,since_start
9:12:42.000 AM,1770473562.000,2026-02-07T09:12:42.000-0500,,,,,,,
9:12:42.000 AM,1770473562.000,2026-02-07T09:12:42.000-0500,,,,0.000,0.000,1,0
9:12:43.000 AM,1770473563.000,2026-02-07T09:12:43.000-0500,58,,,0.000,0.000,1,1
9:12:44.000 AM,1770473564.000,2026-02-07T09:12:44.000-0500,58,71,64,0.000,0.000,1,2
9:12:45.000 AM,1770473565.000,2026-02-07T09:12:45.000-0500,59,73,66,0.000,3.943,1,3
9:12:46.000 AM,1770473566.000,2026-02-07T09:12:46.000-0500,59,70,66,1.850,3.984,1,4
9:12:47.000 AM,1770473567.000,2026-02-07T09:12:47.000-0500,59,61,65,5.740,3.984,1,5
9:12:48.000 AM,1770473568.000,2026-02-07T09:12:48.000-0500,59,59,65,9.910,3.981,1,6
9:12:49.000 AM,1770473569.000,2026-02-07T09:12:49.000-0500,59,59,65,13.050,3.980,1,7
9:12:50.000 AM,1770473570.000,2026-02-07T09:12:50.000-0500,60,64,65,17.240,3.972,1,8
9:12:51.000 AM,1770473571.000,2026-02-07T09:12:51.000-0500,60,65,64,21.190,3.966,1,9
9:12:52.000 AM,1770473572.000,2026-02-07T09:12:52.000-0500,60,63,64,25.570,3.955,1,10
9:12:53.000 AM,1770473573.000,2026-02-07T09:12:53.000-0500,60,62,64,28.820,3.950,1,11
9:12:54.000 AM,1770473574.000,2026-02-07T09:12:54.000-0500,60,63,64,32.300,3.943,1,12
9:12:55.000 AM,1770473575.000,2026-02-07T09:12:55.000-0500,60,60,63,36.720,3.932,1,13
9:12:56.000 AM,1770473576.000,2026-02-07T09:12:56.000-0500,59,57,63,40.240,3.910,1,14
9:12:57.000 AM,1770473577.000,2026-02-07T09:12:57.000-0500,59,58,63,44.100,3.896,1,15
9:12:58.000 AM,1770473578.000,2026-02-07T09:12:58.000-0500,59,60,64,48.590,3.894,1,16
9:12:59.000 AM,1770473579.000,2026-02-07T09:12:59.000-0500,59,62,64,52.750,3.920,1,17
9:13:00.000 AM,1770473580.000,2026-02-07T09:13:00.000-0500,59,62,64,56.420,3.945,1,18
9:13:01.000 AM,1770473581.000,2026-02-07T09:13:01.000-0500,59,62,65,60.150,3.960,1,19
9:13:02.000 AM,1770473582.000,2026-02-07T09:13:02.000-0500,59,63,65,64.270,4.003,1,20
9:13:03.000 AM,1770473583.000,2026-02-07T09:13:03.000-0500,59,62,65,68.400,4.004,1,21
9:13:04.000 AM,1770473584.000,2026-02-07T09:13:04.000-0500,59,61,65,72.630,4.011,1,22
9:13:05.000 AM,1770473585.000,2026-02-07T09:13:05.000-0500,59,61,65,76.800,3.996,1,23
9:13:06.000 AM,1770473586.000,2026-02-07T09:13:06.000-0500,59,61,65,80.900,4.027,1,24
9:13:07.000 AM,1770473587.000,2026-02-07T09:13:07.000-0500,59,64,65,84.120,4.034,1,25
9:13:08.000 AM,1770473588.000,2026-02-07T09:13:08.000-0500,59,61,64,88.850,4.024,1,26
9:13:09.000 AM,1770473589.000,2026-02-07T09:13:09.000-0500,59,56,64,92.010,4.008,1,27
9:13:10.000 AM,1770473590.000,2026-02-07T09:13:10.000-0500,59,60,65,96.650,4.001,1,28
9:13:11.000 AM,1770473591.000,2026-02-07T09:13:11.000-0500,59,65,66,100.330,4.015,1,29
9:13:12.000 AM,1770473592.000,2026-02-07T09:13:12.000-0500,60,65,66,104.830,4.040,1,30
9:13:13.000 AM,1770473593.000,2026-02-07T09:13:13.000-0500,61,64,66,109.180,4.065,1,31
9:13:14.000 AM,1770473594.000,2026-02-07T09:13:14.000-0500,61,63,66,113.350,4.075,1,32
9:13:15.000 AM,1770473595.000,2026-02-07T09:13:15.000-0500,61,65,66,117.350,4.078,1,33
9:13:16.000 AM,1770473596.000,2026-02-07T09:13:16.000-0500,61,65,66,121.710,4.084,1,34
9:13:17.000 AM,1770473597.000,2026-02-07T09:13:17.000-0500,61,64,67,124.870,4.096,1,35
9:13:18.000 AM,1770473598.000,2026-02-07T09:13:18.000-0500,62,60,66,129.040,4.088,1,36
9:13:19.000 AM,1770473599.000,2026-02-07T09:13:19.000-0500,62,59,67,133.220,4.112,1,37
9:13:20.000 AM,1770473600.000,2026-02-07T09:13:20.000-0500,62,61,67,138.150,4.106,1,38
9:13:21.000 AM,1770473601.000,2026-02-07T09:13:21.000-0500,62,62,66,143.650,4.110,1,39
9:13:22.000 AM,1770473602.000,2026-02-07T09:13:22.000-0500,63,61,66,147.820,4.112,1,40
9:13:23.000 AM,1770473603.000,2026-02-07T09:13:23.000-0500,63,60,66,151.670,4.124,1,41
9:13:24.000 AM,1770473604.000,2026-02-07T09:13:24.000-0500,64,61,66,156.180,4.086,1,42
9:13:25.000 AM,1770473605.000,2026-02-07T09:13:25.000-0500,65,58,65,159.290,4.051,1,43
9:13:26.000 AM,1770473606.000,2026-02-07T09:13:26.000-0500,66,58,65,164.180,4.048,1,44
9:13:27.000 AM,1770473607.000,2026-02-07T09:13:27.000-0500,66,60,66,167.660,4.035,1,45
9:13:28.000 AM,1770473608.000,2026-02-07T09:13:28.000-0500,66,62,66,171.100,4.043,1,46
9:13:29.000 AM,1770473609.000,2026-02-07T09:13:29.000-0500,65,63,66,175.990,4.051,1,47
9:13:30.000 AM,1770473610.000,2026-02-07T09:13:30.000-0500,63,64,66,180.200,4.053,1,48
9:13:31.000 AM,1770473611.000,2026-02-07T09:13:31.000-0500,63,60,67,183.640,4.105,1,49
9:13:32.000 AM,1770473612.000,2026-02-07T09:13:32.000-0500,62,60,66,188.560,4.091,1,50
9:13:33.000 AM,1770473613.000,2026-02-07T09:13:33.000-0500,62,60,67,191.960,4.109,1,51
9:13:34.000 AM,1770473614.000,2026-02-07T09:13:34.000-0500,61,64,67,196.910,4.140,1,52
9:13:35.000 AM,1770473615.000,2026-02-07T09:13:35.000-0500,61,63,67,201.090,4.141,1,53
9:13:36.000 AM,1770473616.000,2026-02-07T09:13:36.000-0500,61,61,67,205.160,4.147,1,54
9:13:37.000 AM,1770473617.000,2026-02-07T09:13:37.000-0500,61,59,67,209.430,4.133,1,55
9:13:38.000 AM,1770473618.000,2026-02-07T09:13:38.000-0500,61,59,67,213.630,4.165,1,56
9:13:39.000 AM,1770473619.000,2026-02-07T09:13:39.000-0500,61,60,68,217.800,4.165,1,57
9:13:40.000 AM,1770473620.000,2026-02-07T09:13:40.000-0500,61,65,69,221.930,4.175,1,58
9:13:41.000 AM,1770473621.000,2026-02-07T09:13:41.000-0500,61,65,69,225.630,4.190,1,59
9:13:42.000 AM,1770473622.000,2026-02-07T09:13:42.000-0500,60,59,68,230.330,4.211,1,60
9:13:43.000 AM,1770473623.000,2026-02-07T09:13:43.000-0500,60,58,68,234.510,4.207,1,61
9:13:44.000 AM,1770473624.000,2026-02-07T09:13:44.000-0500,60,62,68,237.750,4.207,1,62
9:13:45.000 AM,1770473625.000,2026-02-07T09:13:45.000-0500,59,59,67,242.640,4.173,1,63
9:13:46.000 AM,1770473626.000,2026-02-07T09:13:46.000-0500,59,59,67,246.900,4.173,1,64
9:13:47.000 AM,1770473627.000,2026-02-07T09:13:47.000-0500,59,61,68,250.240,4.173,1,65
9:13:48.000 AM,1770473628.000,2026-02-07T09:13:48.000-0500,59,64,69,254.360,4.217,1,66
9:13:49.000 AM,1770473629.000,2026-02-07T09:13:49.000-0500,58,66,70,258.540,4.241,1,67
9:13:50.000 AM,1770473630.000,2026-02-07T09:13:50.000-0500,59,69,70,263.740,4.297,1,68
9:13:51.000 AM,1770473631.000,2026-02-07T09:13:51.000-0500,59,70,71,268.230,4.327,1,69
9:13:52.000 AM,1770473632.000,2026-02-07T09:13:52.000-0500,59,67,70,273.150,4.330,1,70
9:13:53.000 AM,1770473633.000,2026-02-07T09:13:53.000-0500,59,63,69,277.320,4.313,1,71
9:13:54.000 AM,1770473634.000,2026-02-07T09:13:54.000-0500,60,55,68,280.820,4.298,1,72
9:13:55.000 AM,1770473635.000,2026-02-07T09:13:55.000-0500,60,56,68,284.980,4.256,1,73
9:13:56.000 AM,1770473636.000,2026-02-07T09:13:56.000-0500,60,62,69,288.820,4.229,1,74
9:13:57.000 AM,1770473637.000,2026-02-07T09:13:57.000-0500,60,68,71,294.030,4.261,1,75
9:13:58.000 AM,1770473638.000,2026-02-07T09:13:58.000-0500,60,69,71,297.450,4.316,1,76
9:13:59.000 AM,1770473639.000,2026-02-07T09:13:59.000-0500,60,68,71,302.390,4.351,1,77
9:14:00.000 AM,1770473640.000,2026-02-07T09:14:00.000-0500,61,66,71,307.600,4.391,1,78
9:14:01.000 AM,1770473641.000,2026-02-07T09:14:01.000-0500,61,65,71,310.990,4.404,1,79
9:14:02.000 AM,1770473642.000,2026-02-07T09:14:02.000-0500,61,64,71,315.190,4.397,1,80
9:14:03.000 AM,1770473643.000,2026-02-07T09:14:03.000-0500,62,61,71,320.100,4.414,1,81
9:14:04.000 AM,1770473644.000,2026-02-07T09:14:04.000-0500,62,60,70,324.310,4.383,1,82
9:14:05.000 AM,1770473645.000,2026-02-07T09:14:05.000-0500,61,60,71,329.520,4.367,1,83
9:14:06.000 AM,1770473646.000,2026-02-07T09:14:06.000-0500,61,64,72,333.700,4.397,1,84
9:14:07.000 AM,1770473647.000,2026-02-07T09:14:07.000-0500,60,71,72,337.680,4.415,1,85
9:14:08.000 AM,1770473648.000,2026-02-07T09:14:08.000-0500,60,71,72,342.170,4.447,1,86
9:14:09.000 AM,1770473649.000,2026-02-07T09:14:09.000-0500,61,67,73,347.230,4.479,1,87
