date,timestamp,ISO8601,hr (count/min),since_start
11:33:23.174 AM,1770222803.174,2026-02-04T11:33:23.174-0500,,
11:33:49.174 AM,1770222829.174,2026-02-04T11:33:49.174-0500,122,26
11:33:50.174 AM,1770222830.174,2026-02-04T11:33:50.174-0500,121,27
11:33:51.174 AM,1770222831.174,2026-02-04T11:33:51.174-0500,121,28
11:33:52.174 AM,1770222832.174,2026-02-04T11:33:52.174-0500,122,29
11:33:53.174 AM,1770222833.174,2026-02-04T11:33:53.174-0500,122,30
11:33:54.174 AM,1770222834.174,2026-02-04T11:33:54.174-0500,122,31
11:33:55.174 AM,1770222835.174,2026-02-04T11:33:55.174-0500,122,32
11:33:56.174 AM,1770222836.174,2026-02-04T11:33:56.174-0500,122,33
11:33:57.174 AM,1770222837.174,2026-02-04T11:33:57.174-0500,122,34
11:33:58.174 AM,1770222838.174,2026-02-04T11:33:58.174-0500,122,35
11:33:59.174 AM,1770222839.174,2026-02-04T11:33:59.174-0500,122,36
11:34:00.174 AM,1770222840.174,2026-02-04T11:34:00.174-0500,122,37
11:34:01.174 AM,1770222841.174,2026-02-04T11:34:01.174-0500,122,38
11:34:02.174 AM,1770222842.174,2026-02-04T11:34:02.174-0500,122,39
11:34:03.174 AM,1770222843.174,2026-02-04T11:34:03.174-0500,123,40
11:34:04.174 AM,1770222844.174,2026-02-04T11:34:04.174-0500,123,41
11:34:05.174 AM,1770222845.174,2026-02-04T11:34:05.174-0500,123,42
11:34:06.174 AM,1770222846.174,2026-02-04T11:34:06.174-0500,123,43
11:34:30.174 AM,1770222870.174,2026-02-04T11:34:30.174-0500,128,67
11:34:31.174 AM,1770222871.174,2026-02-04T11:34:31.174-0500,129,68
11:34:32.174 AM,1770222872.174,2026-02-04T11:34:32.174-0500,129,69
11:34:33.174 AM,1770222873.174,2026-02-04T11:34:33.174-0500,129,70
11:34:34.174 AM,1770222874.174,2026-02-04T11:34:34.174-0500,129,71
11:34:35.174 AM,1770222875.174,2026-02-04T11:34:35.174-0500,129,72
11:34:36.174 AM,1770222876.174,2026-02-04T11:34:36.174-0500,129,73
11:34:37.174 AM,1770222877.174,2026-02-04T11:34:37.174-0500,129,74
11:34:38.174 AM,1770222878.174,2026-02-04T11:34:38.174-0500,129,75
11:34:39.174 AM,1770222879.174,2026-02-04T11:34:39.174-0500,129,76
11:34:40.174 AM,1770222880.174,2026-02-04T11:34:40.174-0500,129,77
11:34:41.174 AM,1770222881.174,2026-02-04T11:34:41.174-0500,129,78
11:34:42.174 AM,1770222882.174,2026-02-04T11:34:42.174-0500,129,79
11:34:43.174 AM,1770222883.174,2026-02-04T11:34:43.174-0500,129,80
11:34:44.174 AM,1770222884.174,2026-02-04T11:34:44.174-0500,129,81
11:34:45.174 AM,1770222885.174,2026-02-04T11:34:45.174-0500,129,82
11:34:46.174 AM,1770222886.174,2026-02-04T11:34:46.174-0500,128,83
11:34:47.174 AM,1770222887.174,2026-02-04T11:34:47.174-0500,128,84
11:34:48.174 AM,1770222888.174,2026-02-04T11:34:48.174-0500,128,85
11:34:49.174 AM,1770222889.174,2026-02-04T11:34:49.174-0500,128,86
11:34:50.174 AM,1770222890.174,2026-02-04T11:34:50.174-0500,127,87
11:34:51.174 AM,1770222891.174,2026-02-04T11:34:51.174-0500,127,88
11:34:52.174 AM,1770222892.174,2026-02-04T11:34:52.174-0500,127,89
11:34:53.174 AM,1770222893.174,2026-02-04T11:34:53.174-0500,128,90
11:34:54.174 AM,1770222894.174,2026-02-04T11:34:54.174-0500,128,91
11:34:55.174 AM,1770222895.174,2026-02-04T11:34:55.174-0500,128,92
11:34:56.174 AM,1770222896.174,2026-02-04T11:34:56.174-0500,128,93
11:35:18.174 AM,1770222918.174,2026-02-04T11:35:18.174-0500,128,115
11:35:19.174 AM,1770222919.174,2026-02-04T11:35:19.174-0500,128,116
11:36:16.174 AM,1770222976.174,2026-02-04T11:36:16.174-0500,123,173
11:36:17.174 AM,1770222977.174,2026-02-04T11:36:17.174-0500,123,174
11:36:18.174 AM,1770222978.174,2026-02-04T11:36:18.174-0500,123,175
11:36:19.174 AM,1770222979.174,2026-02-04T11:36:19.174-0500,123,176
11:36:20.174 AM,1770222980.174,2026-02-04T11:36:20.174-0500,123,177
11:36:21.174 AM,1770222981.174,2026-02-04T11:36:21.174-0500,123,178
11:36:22.174 AM,1770222982.174,2026-02-04T11:36:22.174-0500,123,179
11:36:23.174 AM,1770222983.174,2026-02-04T11:36:23.174-0500,123,180
11:36:24.174 AM,1770222984.174,2026-02-04T11:36:24.174-0500,123,181
11:36:25.174 AM,1770222985.174,2026-02-04T11:36:25.174-0500,123,182
11:36:26.174 AM,1770222986.174,2026-02-04T11:36:26.174-0500,123,183
11:36:27.174 AM,1770222987.174,2026-02-04T11:36:27.174-0500,123,184
11:36:28.174 AM,1770222988.174,2026-02-04T11:36:28.174-0500,122,185
11:36:29.174 AM,1770222989.174,2026-02-04T11:36:29.174-0500,122,186
11:36:30.174 AM,1770222990.174,2026-02-04T11:36:30.174-0500,123,187
11:36:31.174 AM,1770222991.174,2026-02-04T11:36:31.174-0500,123,188
11:36:32.174 AM,1770222992.174,2026-02-04T11:36:32.174-0500,123,189
11:36:33.174 AM,1770222993.174,2026-02-04T11:36:33.174-0500,123,190
11:36:34.174 AM,1770222994.174,2026-02-04T11:36:34.174-0500,123,191
11:36:35.174 AM,1770222995.174,2026-02-04T11:36:35.174-0500,123,192
11:36:36.174 AM,1770222996.174,2026-02-04T11:36:36.174-0500,123,193
11:36:37.174 AM,1770222997.174,2026-02-04T11:36:37.174-0500,123,194
11:36:38.174 AM,1770222998.174,2026-02-04T11:36:38.174-0500,123,195
11:36:39.174 AM,1770222999.174,2026-02-04T11:36:39.174-0500,124,196
11:37:35.174 AM,1770223055.174,2026-02-04T11:37:35.174-0500,117,252
11:37:36.174 AM,1770223056.174,2026-02-04T11:37:36.174-0500,116,253
11:37:37.174 AM,1770223057.174,2026-02-04T11:37:37.174-0500,116,254
11:37:38.174 AM,1770223058.174,2026-02-04T11:37:38.174-0500,116,255
11:37:39.174 AM,1770223059.174,2026-02-04T11:37:39.174-0500,116,256
11:37:40.174 AM,1770223060.174,2026-02-04T11:37:40.174-0500,115,257
11:37:41.174 AM,1770223061.174,2026-02-04T11:37:41.174-0500,115,258
11:37:42.174 AM,1770223062.174,2026-02-04T11:37:42.174-0500,115,259
11:37:43.174 AM,1770223063.174,2026-02-04T11:37:43.174-0500,115,260
11:37:44.174 AM,1770223064.174,2026-02-04T11:37:44.174-0500,115,261
11:37:45.174 AM,1770223065.174,2026-02-04T11:37:45.174-0500,115,262
11:37:46.174 AM,1770223066.174,2026-02-04T11:37:46.174-0500,115,263
11:37:47.174 AM,1770223067.174,2026-02-04T11:37:47.174-0500,115,264
11:37:48.174 AM,1770223068.174,2026-02-04T11:37:48.174-0500,116,265
11:37:49.174 AM,1770223069.174,2026-02-04T11:37:49.174-0500,116,266
11:37:50.174 AM,1770223070.174,2026-02-04T11:37:50.174-0500,117,267
11:37:51.174 AM,1770223071.174,2026-02-04T11:37:51.174-0500,117,268
11:38:58.174 AM,1770223138.174,2026-02-04T11:38:58.174-0500,78,335
11:38:59.174 AM,1770223139.174,2026-02-04T11:38:59.174-0500,78,336
11:39:00.174 AM,1770223140.174,2026-02-04T11:39:00.174-0500,76,337
11:39:01.174 AM,1770223141.174,2026-02-04T11:39:01.174-0500,76,338
11:39:02.174 AM,1770223142.174,2026-02-04T11:39:02.174-0500,76,339
11:39:03.174 AM,1770223143.174,2026-02-04T11:39:03.174-0500,77,340
11:39:04.174 AM,1770223144.174,2026-02-04T11:39:04.174-0500,78,341
11:39:05.174 AM,1770223145.174,2026-02-04T11:39:05.174-0500,78,342
11:39:06.174 AM,1770223146.174,2026-02-04T11:39:06.174-0500,78,343
11:39:07.174 AM,1770223147.174,2026-02-04T11:39:07.174-0500,78,344
11:39:08.174 AM,1770223148.174,2026-02-04T11:39:08.174-0500,78,345
11:39:09.174 AM,1770223149.174,2026-02-04T11:39:09.174-0500,78,346
11:39:10.174 AM,1770223150.174,2026-02-04T11:39:10.174-0500,80,347
11:39:11.174 AM,1770223151.174,2026-02-04T11:39:11.174-0500,80,348
11:39:12.174 AM,1770223152.174,2026-02-04T11:39:12.174-0500,80,349
11:39:13.174 AM,1770223153.174,2026-02-04T11:39:13.174-0500,80,350
11:39:14.174 AM,1770223154.174,2026-02-04T11:39:14.174-0500,80,351
11:39:15.174 AM,1770223155.174,2026-02-04T11:39:15.174-0500,80,352
11:39:16.174 AM,1770223156.174,2026-02-04T11:39:16.174-0500,80,353
11:39:17.174 AM,1770223157.174,2026-02-04T11:39:17.174-0500,80,354
11:39:18.174 AM,1770223158.174,2026-02-04T11:39:18.174-0500,76,355
11:39:19.174 AM,1770223159.174,2026-02-04T11:39:19.174-0500,76,356
11:39:20.174 AM,1770223160.174,2026-02-04T11:39:20.174-0500,76,357
11:39:21.174 AM,1770223161.174,2026-02-04T11:39:21.174-0500,76,358
11:39:22.174 AM,1770223162.174,2026-02-04T11:39:22.174-0500,75,359
11:39:23.174 AM,1770223163.174,2026-02-04T11:39:23.174-0500,75,360
11:39:24.174 AM,1770223164.174,2026-02-04T11:39:24.174-0500,75,361
11:39:25.174 AM,1770223165.174,2026-02-04T11:39:25.174-0500,75,362
11:39:26.174 AM,1770223166.174,2026-02-04T11:39:26.174-0500,75,363
11:39:27.174 AM,1770223167.174,2026-02-04T11:39:27.174-0500,75,364
11:39:28.174 AM,1770223168.174,2026-02-04T11:39:28.174-0500,74,365
11:39:29.174 AM,1770223169.174,2026-02-04T11:39:29.174-0500,74,366
11:39:30.174 AM,1770223170.174,2026-02-04T11:39:30.174-0500,74,367
11:39:31.174 AM,1770223171.174,2026-02-04T11:39:31.174-0500,74,368
11:39:32.174 AM,1770223172.174,2026-02-04T11:39:32.174-0500,74,369
11:39:33.174 AM,1770223173.174,2026-02-04T11:39:33.174-0500,74,370
11:39:34.174 AM,1770223174.174,2026-02-04T11:39:34.174-0500,74,371
11:39:35.174 AM,1770223175.174,2026-02-04T11:39:35.174-0500,74,372
11:39:36.174 AM,1770223176.174,2026-02-04T11:39:36.174-0500,74,373
11:39:37.174 AM,1770223177.174,2026-02-04T11:39:37.174-0500,74,374
11:39:38.174 AM,1770223178.174,2026-02-04T11:39:38.174-0500,74,375
11:39:39.174 AM,1770223179.174,2026-02-04T11:39:39.174-0500,75,376
11:39:40.174 AM,1770223180.174,2026-02-04T11:39:40.174-0500,75,377
11:39:41.174 AM,1770223181.174,2026-02-04T11:39:41.174-0500,75,378
11:39:42.174 AM,1770223182.174,2026-02-04T11:39:42.174-0500,75,379
11:39:43.174 AM,1770223183.174,2026-02-04T11:39:43.174-0500,77,380
11:39:44.174 AM,1770223184.174,2026-02-04T11:39:44.174-0500,77,381
11:39:45.174 AM,1770223185.174,2026-02-04T11:39:45.174-0500,77,382
11:39:46.174 AM,1770223186.174,2026-02-04T11:39:46.174-0500,77,383
11:39:47.174 AM,1770223187.174,2026-02-04T11:39:47.174-0500,77,384
11:39:48.174 AM,1770223188.174,2026-02-04T11:39:48.174-0500,77,385
11:39:49.174 AM,1770223189.174,2026-02-04T11:39:49.174-0500,77,386
11:39:50.174 AM,1770223190.174,2026-02-04T11:39:50.174-0500,77,387
11:39:51.174 AM,1770223191.174,2026-02-04T11:39:51.174-0500,77,388
11:39:52.174 AM,1770223192.174,2026-02-04T11:39:52.174-0500,77,389
11:39:53.174 AM,1770223193.174,2026-02-04T11:39:53.174-0500,77,390
11:39:54.174 AM,1770223194.174,2026-02-04T11:39:54.174-0500,76,391
11:39:55.174 AM,1770223195.174,2026-02-04T11:39:55.174-0500,76,392
11:39:56.174 AM,1770223196.174,2026-02-04T11:39:56.174-0500,76,393
11:39:57.174 AM,1770223197.174,2026-02-04T11:39:57.174-0500,77,394
11:39:58.174 AM,1770223198.174,2026-02-04T11:39:58.174-0500,77,395
11:39:59.174 AM,1770223199.174,2026-02-04T11:39:59.174-0500,77,396
11:40:00.174 AM,1770223200.174,2026-02-04T11:40:00.174-0500,79,397
11:40:01.174 AM,1770223201.174,2026-02-04T11:40:01.174-0500,79,398
11:40:02.174 AM,1770223202.174,2026-02-04T11:40:02.174-0500,79,399
11:40:03.174 AM,1770223203.174,2026-02-04T11:40:03.174-0500,79,400
11:40:04.174 AM,1770223204.174,2026-02-04T11:40:04.174-0500,79,401
11:40:05.174 AM,1770223205.174,2026-02-04T11:40:05.174-0500,79,402
11:40:06.174 AM,1770223206.174,2026-02-04T11:40:06.174-0500,79,403
11:40:07.174 AM,1770223207.174,2026-02-04T11:40:07.174-0500,78,404
11:40:08.174 AM,1770223208.174,2026-02-04T11:40:08.174-0500,78,405
11:40:09.174 AM,1770223209.174,2026-02-04T11:40:09.174-0500,78,406
11:40:10.174 AM,1770223210.174,2026-02-04T11:40:10.174-0500,78,407
11:40:11.174 AM,1770223211.174,2026-02-04T11:40:11.174-0500,78,408
11:40:12.174 AM,1770223212.174,2026-02-04T11:40:12.174-0500,78,409
11:40:13.174 AM,1770223213.174,2026-02-04T11:40:13.174-0500,78,410
11:40:14.174 AM,1770223214.174,2026-02-04T11:40:14.174-0500,78,411
11:40:15.174 AM,1770223215.174,2026-02-04T11:40:15.174-0500,78,412
11:40:16.174 AM,1770223216.174,2026-02-04T11:40:16.174-0500,78,413
11:40:17.174 AM,1770223217.174,2026-02-04T11:40:17.174-0500,78,414
11:40:18.174 AM,1770223218.174,2026-02-04T11:40:18.174-0500,78,415
11:40:19.174 AM,1770223219.174,2026-02-04T11:40:19.174-0500,78,416
11:40:20.174 AM,1770223220.174,2026-02-04T11:40:20.174-0500,78,417
11:40:21.174 AM,1770223221.174,2026-02-04T11:40:21.174-0500,78,418
11:40:22.174 AM,1770223222.174,2026-02-04T11:40:22.174-0500,78,419
11:40:23.174 AM,1770223223.174,2026-02-04T11:40:23.174-0500,80,420
11:40:24.174 AM,1770223224.174,2026-02-04T11:40:24.174-0500,81,421
11:40:25.174 AM,1770223225.174,2026-02-04T11:40:25.174-0500,81,422
11:40:26.174 AM,1770223226.174,2026-02-04T11:40:26.174-0500,81,423
11:40:27.174 AM,1770223227.174,2026-02-04T11:40:27.174-0500,81,424
11:40:28.174 AM,1770223228.174,2026-02-04T11:40:28.174-0500,82,425
11:40:29.174 AM,1770223229.174,2026-02-04T11:40:29.174-0500,82,426
11:40:30.174 AM,1770223230.174,2026-02-04T11:40:30.174-0500,82,427
11:40:31.174 AM,1770223231.174,2026-02-04T11:40:31.174-0500,82,428
11:40:32.174 AM,1770223232.174,2026-02-04T11:40:32.174-0500,82,429
11:40:33.174 AM,1770223233.174,2026-02-04T11:40:33.174-0500,82,430
11:40:34.174 AM,1770223234.174,2026-02-04T11:40:34.174-0500,82,431
11:40:35.174 AM,1770223235.174,2026-02-04T11:40:35.174-0500,82,432
11:40:36.174 AM,1770223236.174,2026-02-04T11:40:36.174-0500,82,433
11:40:37.174 AM,1770223237.174,2026-02-04T11:40:37.174-0500,82,434
11:40:38.174 AM,1770223238.174,2026-02-04T11:40:38.174-0500,83,435
11:40:39.174 AM,1770223239.174,2026-02-04T11:40:39.174-0500,80,436
11:40:40.174 AM,1770223240.174,2026-02-04T11:40:40.174-0500,80,437
11:40:41.174 AM,1770223241.174,2026-02-04T11:40:41.174-0500,80,438
11:40:42.174 AM,1770223242.174,2026-02-04T11:40:42.174-0500,80,439
11:40:43.174 AM,1770223243.174,2026-02-04T11:40:43.174-0500,80,440
11:40:44.174 AM,1770223244.174,2026-02-04T11:40:44.174-0500,80,441
11:40:45.174 AM,1770223245.174,2026-02-04T11:40:45.174-0500,80,442
11:40:46.174 AM,1770223246.174,2026-02-04T11:40:46.174-0500,80,443
11:40:47.174 AM,1770223247.174,2026-02-04T11:40:47.174-0500,80,444
11:40:48.174 AM,1770223248.174,2026-02-04T11:40:48.174-0500,78,445
11:40:49.174 AM,1770223249.174,2026-02-04T11:40:49.174-0500,78,446
11:40:50.174 AM,1770223250.174,2026-02-04T11:40:50.174-0500,78,447
11:40:51.174 AM,1770223251.174,2026-02-04T11:40:51.174-0500,78,448
11:40:52.174 AM,1770223252.174,2026-02-04T11:40:52.174-0500,78,449
11:40:53.174 AM,1770223253.174,2026-02-04T11:40:53.174-0500,81,450
11:40:54.174 AM,1770223254.174,2026-02-04T11:40:54.174-0500,81,451
11:40:55.174 AM,1770223255.174,2026-02-04T11:40:55.174-0500,81,452
11:40:56.174 AM,1770223256.174,2026-02-04T11:40:56.174-0500,82,453
11:40:57.174 AM,1770223257.174,2026-02-04T11:40:57.174-0500,82,454
11:40:58.174 AM,1770223258.174,2026-02-04T11:40:58.174-0500,82,455
11:40:59.174 AM,1770223259.174,2026-02-04T11:40:59.174-0500,82,456
11:41:00.174 AM,1770223260.174,2026-02-04T11:41:00.174-0500,82,457
11:41:01.174 AM,1770223261.174,2026-02-04T11:41:01.174-0500,82,458
11:41:02.174 AM,1770223262.174,2026-02-04T11:41:02.174-0500,82,459
11:41:03.174 AM,1770223263.174,2026-02-04T11:41:03.174-0500,84,460
11:41:04.174 AM,1770223264.174,2026-02-04T11:41:04.174-0500,84,461
11:41:05.174 AM,1770223265.174,2026-02-04T11:41:05.174-0500,84,462
11:41:06.174 AM,1770223266.174,2026-02-04T11:41:06.174-0500,84,463
11:41:07.174 AM,1770223267.174,2026-02-04T11:41:07.174-0500,86,464
11:41:08.174 AM,1770223268.174,2026-02-04T11:41:08.174-0500,86,465
11:41:09.174 AM,1770223269.174,2026-02-04T11:41:09.174-0500,86,466
11:41:10.174 AM,1770223270.174,2026-02-04T11:41:10.174-0500,86,467
11:41:11.174 AM,1770223271.174,2026-02-04T11:41:11.174-0500,88,468
11:41:12.174 AM,1770223272.174,2026-02-04T11:41:12.174-0500,88,469
11:41:13.174 AM,1770223273.174,2026-02-04T11:41:13.174-0500,90,470
11:41:14.174 AM,1770223274.174,2026-02-04T11:41:14.174-0500,92,471
11:41:15.174 AM,1770223275.174,2026-02-04T11:41:15.174-0500,92,472
11:41:16.174 AM,1770223276.174,2026-02-04T11:41:16.174-0500,92,473
11:41:17.174 AM,1770223277.174,2026-02-04T11:41:17.174-0500,92,474
11:41:18.174 AM,1770223278.174,2026-02-04T11:41:18.174-0500,92,475
11:41:19.174 AM,1770223279.174,2026-02-04T11:41:19.174-0500,92,476
11:41:20.174 AM,1770223280.174,2026-02-04T11:41:20.174-0500,91,477
11:41:21.174 AM,1770223281.174,2026-02-04T11:41:21.174-0500,91,478
11:41:22.174 AM,1770223282.174,2026-02-04T11:41:22.174-0500,92,479
11:41:23.174 AM,1770223283.174,2026-02-04T11:41:23.174-0500,98,480
11:41:24.174 AM,1770223284.174,2026-02-04T11:41:24.174-0500,101,481
11:41:25.174 AM,1770223285.174,2026-02-04T11:41:25.174-0500,101,482
11:41:26.174 AM,1770223286.174,2026-02-04T11:41:26.174-0500,101,483
11:41:27.174 AM,1770223287.174,2026-02-04T11:41:27.174-0500,101,484
11:41:28.174 AM,1770223288.174,2026-02-04T11:41:28.174-0500,101,485
11:41:29.174 AM,1770223289.174,2026-02-04T11:41:29.174-0500,101,486
11:41:30.174 AM,1770223290.174,2026-02-04T11:41:30.174-0500,101,487
11:41:31.174 AM,1770223291.174,2026-02-04T11:41:31.174-0500,101,488
11:41:32.174 AM,1770223292.174,2026-02-04T11:41:32.174-0500,104,489
11:41:33.174 AM,1770223293.174,2026-02-04T11:41:33.174-0500,104,490
11:41:34.174 AM,1770223294.174,2026-02-04T11:41:34.174-0500,104,491
11:41:35.174 AM,1770223295.174,2026-02-04T11:41:35.174-0500,104,492
11:41:36.174 AM,1770223296.174,2026-02-04T11:41:36.174-0500,108,493
11:41:37.174 AM,1770223297.174,2026-02-04T11:41:37.174-0500,108,494
11:41:38.174 AM,1770223298.174,2026-02-04T11:41:38.174-0500,108,495
11:41:39.174 AM,1770223299.174,2026-02-04T11:41:39.174-0500,108,496
11:41:40.174 AM,1770223300.174,2026-02-04T11:41:40.174-0500,108,497
11:41:41.174 AM,1770223301.174,2026-02-04T11:41:41.174-0500,109,498
11:41:42.174 AM,1770223302.174,2026-02-04T11:41:42.174-0500,109,499
11:41:43.174 AM,1770223303.174,2026-02-04T11:41:43.174-0500,111,500
11:41:44.174 AM,1770223304.174,2026-02-04T11:41:44.174-0500,112,501
11:41:45.174 AM,1770223305.174,2026-02-04T11:41:45.174-0500,112,502
11:41:46.174 AM,1770223306.174,2026-02-04T11:41:46.174-0500,112,503
11:41:47.174 AM,1770223307.174,2026-02-04T11:41:47.174-0500,112,504
11:41:48.174 AM,1770223308.174,2026-02-04T11:41:48.174-0500,112,505
11:41:49.174 AM,1770223309.174,2026-02-04T11:41:49.174-0500,112,506
